env,lr,use_entropy,episode,return
CartPole-v0,0.0001,True,1,24.52807127963672
CartPole-v0,0.0001,True,2,16.548623854991238
CartPole-v0,0.0001,True,3,10.466174574128356
CartPole-v0,0.0001,True,4,27.501966404214624
CartPole-v0,0.0001,True,5,22.995685419484463
CartPole-v0,0.0001,True,6,35.08973716315974
CartPole-v0,0.0001,True,7,16.548623854991238
CartPole-v0,0.0001,True,8,12.247897700103202
CartPole-v0,0.0001,True,9,10.466174574128356
CartPole-v0,0.0001,True,10,17.383137616441324
CartPole-v0,0.0001,True,11,24.52807127963672
CartPole-v0,0.0001,True,12,22.217864060085315
CartPole-v0,0.0001,True,13,31.744540498961264
CartPole-v0,0.0001,True,14,15.705680661607312
CartPole-v0,0.0001,True,15,33.10282414303193
CartPole-v0,0.0001,True,16,11.361512828387072
CartPole-v0,0.0001,True,17,36.38145139361286
CartPole-v0,0.0001,True,18,16.548623854991238
CartPole-v0,0.0001,True,19,13.994164535871148
CartPole-v0,0.0001,True,20,24.52807127963672
CartPole-v0,0.0001,True,21,22.217864060085315
CartPole-v0,0.0001,True,22,28.226946740172476
CartPole-v0,0.0001,True,23,13.994164535871148
CartPole-v0,0.0001,True,24,37.64746051087997
CartPole-v0,0.0001,True,25,21.432185919278098
CartPole-v0,0.0001,True,26,16.548623854991238
CartPole-v0,0.0001,True,27,10.466174574128356
CartPole-v0,0.0001,True,28,22.217864060085315
CartPole-v0,0.0001,True,29,13.12541872310217
CartPole-v0,0.0001,True,30,30.35867819504261
CartPole-v0,0.0001,True,31,41.883358588189004
CartPole-v0,0.0001,True,32,19.02721317787414
CartPole-v0,0.0001,True,33,14.854222890512437
CartPole-v0,0.0001,True,34,31.744540498961264
CartPole-v0,0.0001,True,35,22.217864060085315
CartPole-v0,0.0001,True,36,34.434077942585596
CartPole-v0,0.0001,True,37,8.64827525163591
CartPole-v0,0.0001,True,38,38.88827604671346
CartPole-v0,0.0001,True,39,22.995685419484463
CartPole-v0,0.0001,True,40,13.12541872310217
CartPole-v0,0.0001,True,41,14.854222890512437
CartPole-v0,0.0001,True,42,36.38145139361286
CartPole-v0,0.0001,True,43,15.705680661607312
CartPole-v0,0.0001,True,44,35.73883979152814
CartPole-v0,0.0001,True,45,33.10282414303193
CartPole-v0,0.0001,True,46,28.226946740172476
CartPole-v0,0.0001,True,47,18.20930624027691
CartPole-v0,0.0001,True,48,17.383137616441324
CartPole-v0,0.0001,True,49,33.771795901601614
CartPole-v0,0.0001,True,50,29.655230500043043
CartPole-v0,0.0001,True,1,11.361512828387072
CartPole-v0,0.0001,True,2,12.247897700103202
CartPole-v0,0.0001,True,3,9.561792499119552
CartPole-v0,0.0001,True,4,13.12541872310217
CartPole-v0,0.0001,True,5,18.20930624027691
CartPole-v0,0.0001,True,6,14.854222890512437
CartPole-v0,0.0001,True,7,18.20930624027691
CartPole-v0,0.0001,True,8,23.765728565289617
CartPole-v0,0.0001,True,9,10.466174574128356
CartPole-v0,0.0001,True,10,17.383137616441324
CartPole-v0,0.0001,True,11,25.28279056684035
CartPole-v0,0.0001,True,12,9.561792499119552
CartPole-v0,0.0001,True,13,9.561792499119552
CartPole-v0,0.0001,True,14,8.64827525163591
CartPole-v0,0.0001,True,15,22.995685419484463
CartPole-v0,0.0001,True,16,9.561792499119552
CartPole-v0,0.0001,True,17,32.42709509397165
CartPole-v0,0.0001,True,18,11.361512828387072
CartPole-v0,0.0001,True,19,18.20930624027691
CartPole-v0,0.0001,True,20,16.548623854991238
CartPole-v0,0.0001,True,21,12.247897700103202
CartPole-v0,0.0001,True,22,16.548623854991238
CartPole-v0,0.0001,True,23,41.29632180625152
CartPole-v0,0.0001,True,24,28.94467727277075
CartPole-v0,0.0001,True,25,18.20930624027691
CartPole-v0,0.0001,True,26,18.20930624027691
CartPole-v0,0.0001,True,27,17.383137616441324
CartPole-v0,0.0001,True,28,14.854222890512437
CartPole-v0,0.0001,True,29,14.854222890512437
CartPole-v0,0.0001,True,30,20.63857163563444
CartPole-v0,0.0001,True,31,8.64827525163591
CartPole-v0,0.0001,True,32,10.466174574128356
CartPole-v0,0.0001,True,33,17.383137616441324
CartPole-v0,0.0001,True,34,13.994164535871148
CartPole-v0,0.0001,True,35,19.02721317787414
CartPole-v0,0.0001,True,36,13.994164535871148
CartPole-v0,0.0001,True,37,9.561792499119552
CartPole-v0,0.0001,True,38,12.247897700103202
CartPole-v0,0.0001,True,39,16.548623854991238
CartPole-v0,0.0001,True,40,13.12541872310217
CartPole-v0,0.0001,True,41,22.995685419484463
CartPole-v0,0.0001,True,42,13.994164535871148
CartPole-v0,0.0001,True,43,11.361512828387072
CartPole-v0,0.0001,True,44,8.64827525163591
CartPole-v0,0.0001,True,45,22.995685419484463
CartPole-v0,0.0001,True,46,16.548623854991238
CartPole-v0,0.0001,True,47,8.64827525163591
CartPole-v0,0.0001,True,48,11.361512828387072
CartPole-v0,0.0001,True,49,9.561792499119552
CartPole-v0,0.0001,True,50,26.029962661171947
CartPole-v0,0.0001,True,1,9.561792499119552
CartPole-v0,0.0001,True,2,14.854222890512437
CartPole-v0,0.0001,True,3,13.994164535871148
CartPole-v0,0.0001,True,4,11.361512828387072
CartPole-v0,0.0001,True,5,14.854222890512437
CartPole-v0,0.0001,True,6,20.63857163563444
CartPole-v0,0.0001,True,7,14.854222890512437
CartPole-v0,0.0001,True,8,19.02721317787414
CartPole-v0,0.0001,True,9,12.247897700103202
CartPole-v0,0.0001,True,10,15.705680661607312
CartPole-v0,0.0001,True,11,11.361512828387072
CartPole-v0,0.0001,True,12,12.247897700103202
CartPole-v0,0.0001,True,13,12.247897700103202
CartPole-v0,0.0001,True,14,16.548623854991238
CartPole-v0,0.0001,True,15,13.12541872310217
CartPole-v0,0.0001,True,16,13.994164535871148
CartPole-v0,0.0001,True,17,14.854222890512437
CartPole-v0,0.0001,True,18,10.466174574128356
CartPole-v0,0.0001,True,19,19.836941046095397
CartPole-v0,0.0001,True,20,13.12541872310217
CartPole-v0,0.0001,True,21,8.64827525163591
CartPole-v0,0.0001,True,22,22.217864060085315
CartPole-v0,0.0001,True,23,18.20930624027691
CartPole-v0,0.0001,True,24,15.705680661607312
CartPole-v0,0.0001,True,25,29.655230500043043
CartPole-v0,0.0001,True,26,14.854222890512437
CartPole-v0,0.0001,True,27,16.548623854991238
CartPole-v0,0.0001,True,28,20.63857163563444
CartPole-v0,0.0001,True,29,13.12541872310217
CartPole-v0,0.0001,True,30,9.561792499119552
CartPole-v0,0.0001,True,31,18.20930624027691
CartPole-v0,0.0001,True,32,19.836941046095397
CartPole-v0,0.0001,True,33,11.361512828387072
CartPole-v0,0.0001,True,34,11.361512828387072
CartPole-v0,0.0001,True,35,19.02721317787414
CartPole-v0,0.0001,True,36,37.64746051087997
CartPole-v0,0.0001,True,37,12.247897700103202
CartPole-v0,0.0001,True,38,22.995685419484463
CartPole-v0,0.0001,True,39,12.247897700103202
CartPole-v0,0.0001,True,40,15.705680661607312
CartPole-v0,0.0001,True,41,13.12541872310217
CartPole-v0,0.0001,True,42,11.361512828387072
CartPole-v0,0.0001,True,43,35.73883979152814
CartPole-v0,0.0001,True,44,19.02721317787414
CartPole-v0,0.0001,True,45,25.28279056684035
CartPole-v0,0.0001,True,46,37.017636879676736
CartPole-v0,0.0001,True,47,17.383137616441324
CartPole-v0,0.0001,True,48,37.017636879676736
CartPole-v0,0.0001,True,49,10.466174574128356
CartPole-v0,0.0001,True,50,13.12541872310217
CartPole-v0,0.0001,True,1,13.994164535871148
CartPole-v0,0.0001,True,2,22.995685419484463
CartPole-v0,0.0001,True,3,13.12541872310217
CartPole-v0,0.0001,True,4,13.994164535871148
CartPole-v0,0.0001,True,5,23.765728565289617
CartPole-v0,0.0001,True,6,13.12541872310217
CartPole-v0,0.0001,True,7,10.466174574128356
CartPole-v0,0.0001,True,8,10.466174574128356
CartPole-v0,0.0001,True,9,25.28279056684035
CartPole-v0,0.0001,True,10,8.64827525163591
CartPole-v0,0.0001,True,11,21.432185919278098
CartPole-v0,0.0001,True,12,16.548623854991238
CartPole-v0,0.0001,True,13,16.548623854991238
CartPole-v0,0.0001,True,14,37.64746051087997
CartPole-v0,0.0001,True,15,13.12541872310217
CartPole-v0,0.0001,True,16,13.12541872310217
CartPole-v0,0.0001,True,17,8.64827525163591
CartPole-v0,0.0001,True,18,16.548623854991238
CartPole-v0,0.0001,True,19,17.383137616441324
CartPole-v0,0.0001,True,20,26.029962661171947
CartPole-v0,0.0001,True,21,15.705680661607312
CartPole-v0,0.0001,True,22,11.361512828387072
CartPole-v0,0.0001,True,23,9.561792499119552
CartPole-v0,0.0001,True,24,13.12541872310217
CartPole-v0,0.0001,True,25,18.20930624027691
CartPole-v0,0.0001,True,26,22.995685419484463
CartPole-v0,0.0001,True,27,14.854222890512437
CartPole-v0,0.0001,True,28,13.994164535871148
CartPole-v0,0.0001,True,29,13.12541872310217
CartPole-v0,0.0001,True,30,13.12541872310217
CartPole-v0,0.0001,True,31,13.12541872310217
CartPole-v0,0.0001,True,32,13.994164535871148
CartPole-v0,0.0001,True,33,10.466174574128356
CartPole-v0,0.0001,True,34,13.12541872310217
CartPole-v0,0.0001,True,35,15.705680661607312
CartPole-v0,0.0001,True,36,12.247897700103202
CartPole-v0,0.0001,True,37,9.561792499119552
CartPole-v0,0.0001,True,38,31.744540498961264
CartPole-v0,0.0001,True,39,13.12541872310217
CartPole-v0,0.0001,True,40,10.466174574128356
CartPole-v0,0.0001,True,41,13.12541872310217
CartPole-v0,0.0001,True,42,11.361512828387072
CartPole-v0,0.0001,True,43,21.432185919278098
CartPole-v0,0.0001,True,44,8.64827525163591
CartPole-v0,0.0001,True,45,14.854222890512437
CartPole-v0,0.0001,True,46,13.12541872310217
CartPole-v0,0.0001,True,47,11.361512828387072
CartPole-v0,0.0001,True,48,19.02721317787414
CartPole-v0,0.0001,True,49,9.561792499119552
CartPole-v0,0.0001,True,50,16.548623854991238
